Artist,Song
Alec Benjamin,water fountain
Alec Benjamin,mind is a prison
Aries,bad news
Aries,sayonara
Beabadoobee & Powfu,death bed
Between Friends,blushing!
COIN,talk too much
COIN,cemetery
Cavetown,home
Cavetown,lemon boy
Cavetown,things that make it warm
Clairo,softly
Clairo,pretty girl
Conan Gray,greek god
Conan Gray,the king
Dayglow,can i call you tonight
Dayglow,listerine
Declan Mckenna,eventually darling
Dodie,she
Dodie & Tom Walker,human
Flor,slow motion
Girl in red,rue
Hippo Campus,monsoon
Jeremy Zucker,you were good to me
Khai dreams,sunkissed
Khai dreams,fantasy
Mxmtoon,falling for u
Mxmtoon,almost home
Oh Wonder,technicolour beat
Oh Wonder,drive
Owl City,fireflies
Owl City,the tip of the iceberg
Rex Orange County,loving is easy
Rex Orange County,sunflower
Rex Orange County,best friend
The 1975,its not living
The 1975,somebody else
The Japanese House,saw you in a dream
The Japanese House,lilo
The Wombats,tokyo
The Wombats,lemon to a knife fight
Wallows,ok
Wallows,are you bored yet
